id,noc,medal
4181,FRA,Silver
4182,URS,Gold
4183,URS,Bronze
4184,PRK,Silver
4185,KOR,Silver
4186,PRK,Gold
4187,KOR,Silver
4188,KOR,Silver
4189,KOR,Silver
4190,KOR,Gold
4191,KOR,Silver
4192,KOR,Bronze
4193,KOR,Silver
4194,KOR,Gold
4195,KOR,Bronze
4196,KOR,Gold
4197,KOR,Silver
4198,BUL,Bronze
4199,RUS,Silver
4200,RUS,Bronze
4201,URS,Gold
4202,LTU,Bronze
4203,PRK,Bronze
4204,MEX,Bronze
4205,AUS,Bronze
4206,TJK,Bronze
4207,CHN,Silver
4208,USA,Gold
4209,USA,Silver
4210,USA,Bronze
4211,NZL,Gold
4212,USA,Gold
4213,DEN,Silver
4214,USA,Bronze
4215,USA,Gold
4216,USA,Gold
4217,GBR,Gold
4218,USA,Silver
4219,USA,Gold
4220,DEN,Bronze
4221,USA,Silver
4222,NOR,Gold
4223,DEN,Gold
4224,GER,Silver
4225,DEN,Bronze
4226,GBR,Silver
4227,GBR,Silver
4228,GBR,Gold
4229,AUS,Silver
4230,CAN,Gold
4231,USA,Gold
4232,DEN,Silver
4233,DEN,Bronze
4234,IND,Bronze
4235,USA,Silver
4236,USA,Bronze
4237,USA,Silver
4238,USA,Silver
4239,TPE,Gold
4240,TPE,Bronze
4241,URS,Bronze
4242,URS,Silver
4243,URS,Silver
4244,RUS,Bronze
4245,URS,Gold
4246,RUS,Silver
4247,URS,Gold
4248,URS,Gold
4249,URS,Gold
4250,URS,Silver
4251,URS,Silver
4252,URS,Gold
4253,URS,Gold
4254,URS,Gold
4255,URS,Silver
4256,URS,Gold
4257,URS,Bronze
4258,NGR,Gold
4259,NGR,Bronze
4260,URS,Bronze
4261,URS,Silver
4262,URS,Gold
4263,EUN,Gold
4264,URS,Bronze
4265,RUS,Bronze
4266,USA,Gold
4267,EUN,Gold
4268,GER,Silver
4269,POL,Gold
4270,ARG,Bronze
4271,POL,Bronze
4272,ITA,Bronze
4273,ITA,Bronze
4274,FRA,Bronze
4275,BRA,Gold
4276,BRA,Bronze
4277,BRA,Bronze
4278,POL,Bronze
4279,POL,Silver
4280,POL,Gold
4281,GDR,Gold
4282,GDR,Gold
4283,POL,Bronze
4284,POL,Bronze
4285,URU,Bronze
4286,ROU,Bronze
4287,YUG,Silver
4288,ITA,Bronze
4289,BRA,Silver
4290,BRA,Bronze
4291,GER,Gold
4292,ESP,Bronze
4293,ROU,Bronze
4294,ITA,Silver
4295,ROU,Bronze
4296,YUG,Bronze
4297,YUG,Silver
4298,ROU,Bronze
4299,ITA,Gold
4300,USA,Gold
4301,SCG,Bronze
4302,SCG,Silver
4303,SRB,Bronze
4304,MDA,Bronze
4305,AUS,Bronze
4306,ITA,Silver
4307,CIV,Gold
4308,FRA,Bronze
4309,URS,Bronze
4310,ROU,Bronze
4311,ROU,Silver
4312,ITA,Silver
4313,ITA,Bronze
4314,BEL,Silver
4315,GBR,Bronze
4316,USA,Gold
4317,USA,Bronze
4318,CAN,Bronze
4319,USA,Silver
4320,USA,Silver
4321,USA,Gold
4322,USA,Gold
4323,GBR,Silver
4324,CAN,Silver
4325,USA,Gold
4326,USA,Bronze
4327,USA,Bronze
4328,USA,Gold
4329,RSA,Bronze
4330,USA,Bronze
4331,USA,Bronze
4332,USA,Gold
4333,GBR,Silver
4334,GBR,Gold
4335,USA,Silver
4336,USA,Gold
4337,USA,Gold
4338,USA,Gold
4339,USA,Gold
4340,USA,Gold
4341,USA,Gold
4342,USA,Silver
4343,JAM,Bronze
4344,CAN,Bronze
4345,CAN,Bronze
4346,GBR,Bronze
4347,GBR,Silver
4348,USA,Gold
4349,CAN,Bronze
4350,BAH,Silver
4351,BAH,Gold
4352,GBR,Bronze
4353,FRA,Bronze
4354,USA,Gold
4355,SWE,Silver
4356,FRA,Gold
4357,FRA,Bronze
4358,BRA,Silver
4359,BRA,Bronze
4360,IND,Gold
4361,IND,Gold
4362,IND,Gold
4363,IND,Silver
4364,DEN,Gold
4365,ESP,Silver
4366,ESP,Bronze
4367,USA,Gold
4368,USA,Silver
4369,USA,Gold
4370,GBR,Silver
4371,USA,Bronze
4372,USA,Silver
4373,USA,Silver
4374,USA,Gold
4375,USA,Gold
4376,USA,Silver
4377,USA,Gold
4378,USA,Gold
4379,USA,Gold
4380,CAN,Bronze
4381,FRA,Bronze
4382,CAN,Silver
4383,GBR,Gold
4384,ESP,Silver
4385,GBR,Gold
4386,USA,Bronze
4387,USA,Gold
4388,USA,Silver
4389,CAN,Gold
4390,FRA,Silver
4391,BEL,Silver
4392,POL,Gold
4393,POL,Silver
4394,USA,Gold
4395,ROU,Silver
4396,ROU,Bronze
4397,USA,Bronze
4398,USA,Bronze
4399,NZL,Silver
4400,CUB,Silver
4401,ESP,Silver
4402,FRA,Bronze
4403,FRA,Silver
4404,FRA,Silver
4405,USA,Gold
4406,USA,Gold
4407,USA,Bronze
4408,GBR,Bronze
4409,GBR,Bronze
4410,USA,Gold
4411,USA,Gold
4412,GBR,Gold
4413,CAN,Gold
4414,CAN,Bronze
4415,CAN,Silver
4416,CAN,Silver
4417,GBR,Bronze
4418,ROU,Silver
4419,GBR,Silver
4420,GBR,Silver
4421,FRA,Bronze
4422,POL,Bronze
4423,USA,Silver
4424,USA,Bronze
4425,USA,Bronze
4426,USA,Bronze
4427,ROU,Silver
4428,ROU,Bronze
4429,ROU,Silver
4430,ROU,Silver
4431,ROU,Gold
4432,ROU,Gold
4433,ESP,Silver
4434,ESP,Gold
4435,ROU,Bronze
4436,ITA,Gold
4437,USA,Bronze
4438,BEL,Silver
4439,NZL,Gold
4440,USA,Silver
4441,ROU,Bronze
4442,ROU,Bronze
4443,NZL,Gold
4444,NZL,Bronze
4445,ITA,Silver
4446,USA,Gold
4447,FRA,Bronze
4448,AUS,Silver
4449,USA,Bronze
4450,USA,Silver
4451,USA,Bronze
4452,NZL,Gold
4453,USA,Silver
4454,USA,Bronze
4455,USA,Silver
4456,USA,Gold
4457,USA,Silver
4458,GBR,Gold
4459,USA,Bronze
4460,USA,Silver
4461,ARG,Bronze
4462,FRA,Silver
4463,FRA,Gold
4464,GBR,Silver
4465,GBR,Bronze
4466,CAN,Gold
4467,USA,Silver
4468,SUI,Gold
4469,USA,Silver
4470,USA,Bronze
4471,BEL,Gold
4472,NZL,Gold
4473,NZL,Silver
4474,USA,Bronze
4475,USA,Bronze
4476,USA,Silver
4477,SUI,Silver
4478,ITA,Gold
4479,ARG,Gold
4480,SUI,Gold
4481,SUI,Gold
4482,SUI,Gold
4483,ITA,Silver
4484,ESP,Bronze
4485,CUB,Gold
4486,AUS,Silver
4487,CAN,Bronze
4488,GBR,Bronze
4489,ROU,Gold
4490,ROU,Silver
4491,ROU,Bronze
4492,ROU,Gold
4493,ROU,Gold
4494,ROU,Silver
4495,ROU,Silver
4496,ROU,Gold
4497,ROU,Gold
4498,ITA,Bronze
4499,AUS,Bronze
4500,ITA,Gold
4501,ITA,Gold
4502,ITA,Gold
4503,ITA,Silver
4504,USA,Silver
4505,BRA,Bronze
4506,BRA,Gold
4507,GBR,Silver
4508,USA,Silver
4509,USA,Gold
4510,USA,Gold
4511,ITA,Bronze
4512,CHN,Bronze
4513,CHN,Silver
4514,USA,Gold
4515,IRL,Bronze
4516,USA,Silver
4517,USA,Gold
4518,CAN,Bronze
4519,GBR,Bronze
4520,CAN,Silver
4521,USA,Gold
4522,USA,Gold
4523,USA,Bronze
4524,USA,Gold
4525,USA,Silver
4526,USA,Bronze
4527,USA,Gold
4528,USA,Silver
4529,USA,Bronze
4530,GBR,Bronze
4531,GER,Silver
4532,BRA,Bronze
4533,BRA,Bronze
4534,GBR,Bronze
4535,USA,Silver
4536,ITA,Gold
4537,ITA,Silver
4538,FRA,Silver
4539,ROU,Silver
4540,ROU,Bronze
4541,ARG,Bronze
4542,ARG,Bronze
4543,ITA,Gold
4544,ITA,Gold
4545,ITA,Gold
4546,ITA,Bronze
4547,VEN,Bronze
4548,CUB,Gold
4549,CUB,Silver
4550,CHI,Bronze
4551,ITA,Silver
4552,USA,Silver
4553,USA,Bronze
4554,GBR,Bronze
4555,GBR,Gold
4556,GBR,Silver
4557,CAN,Gold
4558,AUS,Bronze
4559,AUS,Gold
4560,GBR,Gold
4561,AUS,Silver
4562,GBR,Silver
4563,CAN,Bronze
4564,AUS,Bronze
4565,AUS,Silver
4566,BAH,Gold
4567,USA,Silver
4568,USA,Silver
4569,USA,Bronze
4570,GBR,Gold
4571,AUS,Silver
4572,USA,Gold
4573,USA,Bronze
4574,USA,Silver
4575,GBR,Bronze
4576,AUS,Gold
4577,USA,Gold
4578,AUS,Gold
4579,GBR,Gold
4580,GBR,Gold
4581,USA,Silver
4582,USA,Gold
4583,USA,Bronze
4584,GBR,Silver
4585,GBR,Silver
4586,GBR,Bronze
4587,GBR,Silver
4588,GBR,Bronze
4589,GBR,Bronze
4590,AUS,Bronze
4591,BEL,Silver
4592,SLO,Bronze
4593,SLO,Gold
4594,SLO,Silver
4595,SLO,Bronze
4596,USA,Silver
4597,GBR,Gold
4598,USA,Silver
4599,USA,Gold
4600,ARG,Silver
4601,TUR,Bronze
4602,BEL,Gold
4603,BEL,Bronze
4604,SUI,Bronze
4605,FRA,Silver
4606,ESP,Silver
4607,ROU,Gold
4608,GBR,Gold
4609,AUS,Silver
4610,BRA,Bronze
4611,USA,Gold
4612,GER,Gold
4613,GER,Silver
4614,ITA,Silver
4615,FRA,Bronze
4616,FRA,Silver
4617,FRA,Silver
4618,IND,Bronze
4619,NOR,Gold
4620,USA,Gold
4621,USA,Gold
4622,BEL,Gold
4623,BEL,Gold
4624,GBR,Gold
4625,GBR,Gold
4626,GBR,Gold
4627,NED,Bronze
4628,FRA,Bronze
4629,ITA,Bronze
4630,MEX,Gold
4631,ESP,Silver
4632,CUB,Gold
4633,CUB,Silver
4634,USA,Silver
4635,ESP,Bronze
4636,USA,Gold
4637,ITA,Bronze
4638,CAN,Bronze
4639,USA,Bronze
4640,CAN,Bronze
4641,MEX,Gold
4642,ESP,Silver
4643,URU,Bronze
4644,FRA,Bronze
4645,GER,Silver
4646,ITA,Bronze
4647,USA,Bronze
4648,YUG,Silver
4649,YUG,Silver
4650,YUG,Gold
4651,ROU,Bronze
4652,ROU,Silver
4653,ROU,Bronze
4654,FRA,Bronze
4655,ITA,Bronze
4656,ESP,Bronze
4657,URU,Bronze
4658,URU,Bronze
4659,CUB,Gold
4660,CUB,Gold
4661,CUB,Gold
4662,USA,Gold
4663,USA,Gold
4664,USA,Gold
4665,AUS,Bronze
4666,ITA,Gold
4667,ITA,Gold
4668,BEL,Silver
4669,ITA,Silver
4670,USA,Gold
4671,USA,Bronze
4672,USA,Silver
4673,USA,Gold
4674,USA,Gold
4675,USA,Silver
4676,USA,Bronze
4677,USA,Silver
4678,USA,Bronze
4679,USA,Gold
4680,USA,Bronze
4681,USA,Silver
4682,USA,Bronze
4683,FRA,Bronze
4684,USA,Gold
4685,BEL,Bronze
4686,FRA,Bronze
4687,CAN,Bronze
4688,GBR,Bronze
4689,USA,Gold
4690,USA,Gold
4691,USA,Gold
4692,GBR,Gold
4693,FRA,Silver
4694,FRA,Bronze
4695,AUS,Gold
4696,AUS,Silver
4697,AUS,Bronze
4698,AUS,Silver
4699,AUS,Silver
4700,NZL,Gold
4701,GBR,Silver
4702,ROU,Bronze
4703,GBR,Silver
4704,GBR,Silver
4705,ZIM,Silver
4706,ZIM,Gold
4707,ZIM,Bronze
4708,ZIM,Silver
4709,ZIM,Gold
4710,ZIM,Silver
4711,ZIM,Silver
4712,CAN,Gold
4713,GBR,Gold
4714,GBR,Bronze
4715,USA,Silver
4716,GBR,Bronze
4717,NZL,Silver
4718,ZIM,Gold
4719,USA,Silver
4720,AUS,Silver
4721,AUS,Silver
4722,USA,Gold
4723,USA,Gold
4724,USA,Silver
4725,ITA,Silver
4726,FRA,Silver
4727,GBR,Gold
4728,GBR,Gold
4729,CAN,Silver
4730,USA,Gold
4731,ANZ,Gold
4732,USA,Gold
4733,USA,Silver
4734,USA,Gold
4735,USA,Gold
4736,USA,Gold
4737,USA,Gold
4738,GBR,Bronze
4739,SWE,Silver
4740,CAN,Bronze
4741,GER,Gold
4742,AUS,Silver
4743,AUS,Gold
4744,AUS,Gold
4745,AUS,Silver
4746,CAN,Gold
4747,GBR,Gold
4748,CAN,Gold
4749,TTO,Gold
4750,CAN,Gold
4751,USA,Gold
4752,USA,Silver
4753,USA,Silver
4754,CUB,Bronze
4755,AUS,Gold
4756,USA,Silver
4757,USA,Bronze
4758,USA,Silver
4759,ESP,Bronze
4760,ARG,Silver
4761,USA,Gold
4762,FRA,Gold
4763,GBR,Silver
4764,TCH,Silver
4765,CAN,Silver
4766,GBR,Gold
4767,ARG,Gold
4768,PAR,Silver
4769,BRA,Silver
4770,BRA,Silver
4771,ITA,Gold
4772,ITA,Bronze
4773,YUG,Silver
4774,USA,Gold
4775,USA,Bronze
4776,USA,Silver
4777,USA,Gold
4778,USA,Gold
4779,USA,Silver
4780,GBR,Gold
4781,GBR,Silver
4782,GBR,Bronze
4783,BEL,Silver
4784,AUS,Gold
4785,USA,Bronze
4786,GER,Bronze
4787,AUS,Bronze
4788,CAN,Silver
4789,GBR,Silver
4790,NED,Bronze
4791,NZL,Gold
4792,CAN,Gold
4793,CAN,Gold
4794,CAN,Gold
4795,USA,Silver
4796,GBR,Bronze
4797,GBR,Gold
4798,GBR,Silver
4799,GBR,Bronze
4800,USA,Bronze
4801,AUS,Bronze
4802,ITA,Silver
4803,CAN,Silver
4804,CAN,Silver
4805,USA,Gold
4806,USA,Bronze
4807,AUS,Bronze
4808,AUS,Silver
4809,AUS,Gold
4810,CAN,Gold
4811,GBR,Silver
4812,GDR,Bronze
4813,GDR,Gold
4814,NED,Bronze
4815,NED,Gold
4816,AUS,Bronze
4817,GBR,Bronze
4818,BRA,Silver
4819,ESP,Silver
4820,BRA,Gold
4821,BRA,Silver
4822,BRA,Silver
4823,SRB,Bronze
4824,HUN,Gold
4825,HUN,Silver
4826,HUN,Bronze
4827,HUN,Gold
4828,HUN,Bronze
4829,AUT,Bronze
4830,HUN,Bronze
4831,HUN,Gold
4832,HUN,Silver
4833,HUN,Gold
4834,HUN,Bronze
4835,HUN,Silver
4836,HUN,Gold
4837,HUN,Gold
4838,HUN,Bronze
4839,HUN,Gold
4840,HUN,Bronze
4841,CAN,Silver
4842,HUN,Silver
4843,HUN,Gold
4844,HUN,Gold
4845,HUN,Bronze
4846,HUN,Silver
4847,USA,Gold
4848,USA,Bronze
4849,ESP,Bronze
4850,FRA,Gold
4851,SUI,Silver
4852,TCH,Silver
4853,AUS,Bronze
4854,YUG,Gold
4855,USA,Silver
4856,GBR,Gold
4857,SUI,Bronze
4858,AUS,Bronze
4859,FRA,Bronze
4860,USA,Silver
4861,CHN,Bronze
4862,CHN,Silver
4863,SRB,Gold
4864,USA,Bronze
4865,CRO,Bronze
4866,GBR,Bronze
4867,GBR,Gold
4868,GER,Gold
4869,PUR,Bronze
4870,CUB,Gold
4871,ARG,Bronze
4872,GBR,Gold
4873,USA,Silver
4874,GBR,Silver
4875,USA,Bronze
4876,USA,Gold
4877,AUS,Gold
4878,GER,Silver
4879,CRO,Bronze
4880,ARG,Bronze
4881,AUS,Silver
4882,USA,Silver
4883,GBR,Silver
4884,GBR,Gold
4885,GBR,Gold
4886,USA,Gold
4887,GBR,Gold
4888,FRA,Silver
4889,USA,Silver
4890,USA,Gold
4891,USA,Gold
4892,AUS,Silver
4893,USA,Gold
4894,ARG,Gold
4895,AUS,Bronze
4896,USA,Silver
4897,AUS,Gold
4898,AUS,Gold
4899,AUS,Gold
4900,AUS,Gold
4901,JAM,Silver
4902,JAM,Silver
4903,JAM,Bronze
4904,GBR,Bronze
4905,GBR,Bronze
4906,ROU,Gold
4907,NZL,Bronze
4908,ROU,Bronze
4909,ROU,Silver
4910,YUG,Silver
4911,FRA,Bronze
4912,YUG,Bronze
4913,YUG,Silver
4914,TCH,Silver
4915,YUG,Silver
4916,CRO,Silver
4917,USA,Gold
4918,POL,Bronze
4919,POL,Bronze
4920,POL,Bronze
4921,USA,Silver
4922,GDR,Silver
4923,GDR,Bronze
4924,HUN,Bronze
4925,HUN,Gold
4926,POL,Silver
4927,HUN,Gold
4928,POL,Silver
4929,POL,Bronze
4930,GER,Gold
4931,POL,Gold
4932,ARG,Gold
4933,FRA,Silver
4934,FRA,Bronze
4935,ITA,Gold
4936,ITA,Gold
4937,USA,Gold
4938,ITA,Silver
4939,CAN,Bronze
4940,ITA,Silver
4941,GBR,Gold
4942,FRA,Bronze
4943,BRA,Bronze
4944,BRA,Bronze
4945,BRA,Gold
4946,BRA,Gold
4947,BRA,Bronze
4948,BRA,Silver
4949,BRA,Bronze
4950,BRA,Silver
4951,BRA,Bronze
4952,BRA,Bronze
4953,BRA,Bronze
4954,BRA,Bronze
4955,BRA,Bronze
4956,BRA,Bronze
4957,FRA,Silver
4958,NIG,Bronze
4959,SRB,Bronze
4960,YUG,Gold
4961,SRB,Bronze
4962,GER,Gold
4963,SWE,Gold
4964,GBR,Bronze
4965,RSA,Silver
4966,ROU,Bronze
4967,BUL,Gold
4968,USA,Gold
4969,USA,Bronze
4970,SUI,Bronze
4971,SWE,Bronze
4972,NOR,Bronze
4973,NOR,Gold
4974,SWE,Bronze
4975,CAN,Silver
4976,SWE,Gold
4977,SWE,Silver
4978,NOR,Silver
4979,SWE,Silver
4980,NOR,Silver
4981,GDR,Bronze
4982,GDR,Silver
4983,CHN,Bronze
4984,CHN,Bronze
4985,GBR,Gold
4986,GRE,Silver
4987,FIJ,Gold
4988,ITA,Silver
4989,USA,Gold
4990,USA,Gold
4991,USA,Silver
4992,GBR,Bronze
4993,GBR,Bronze
4994,USA,Gold
4995,LAT,Silver
4996,YUG,Silver
4997,YUG,Gold
4998,YUG,Bronze
4999,ITA,Bronze
5000,ITA,Silver
5001,ITA,Gold
5002,ITA,Silver
5003,USA,Bronze
5004,GER,Bronze
5005,USA,Gold
5006,HUN,Gold
5007,HUN,Bronze
5008,AUS,Gold
5009,USA,Bronze
5010,IND,Gold
5011,GBR,Gold
5012,DEN,Silver
5013,FRA,Bronze
5014,GRE,Bronze
5015,ITA,Bronze
5016,ROU,Gold
5017,ROU,Gold
5018,ROU,Gold
5019,ROU,Gold
5020,ROU,Gold
5021,ROU,Bronze
5022,ITA,Silver
5023,BRA,Silver
5024,ITA,Gold
5025,ITA,Bronze
5026,ITA,Bronze
5027,GDR,Bronze
5028,AUS,Silver
5029,FRA,Silver
5030,TCH,Silver
5031,TCH,Bronze
5032,TCH,Gold
5033,YUG,Silver
5034,KOR,Bronze
5035,HUN,Silver
5036,USA,Silver
5037,USA,Bronze
5038,USA,Gold
5039,USA,Bronze
5040,NGR,Bronze
5041,BRA,Silver
5042,BRA,Silver
5043,GDR,Gold
5044,USA,Bronze
5045,USA,Silver
5046,USA,Gold
5047,USA,Gold
5048,USA,Gold
5049,USA,Gold
5050,USA,Gold
5051,USA,Bronze
5052,USA,Bronze
5053,USA,Silver
5054,USA,Bronze
5055,USA,Bronze
5056,NOR,Gold
5057,DEN,Silver
5058,URS,Silver
5059,BRA,Silver
5060,RUS,Gold
5061,RUS,Silver
5062,RUS,Gold
5063,URS,Gold
5064,URS,Silver
5065,SCG,Silver
5066,CAN,Silver
5067,FRG,Bronze
5068,FRG,Gold
5069,FRG,Bronze
5070,GBR,Bronze
5071,GBR,Gold
5072,BRA,Gold
5073,BRA,Silver
5074,BRA,Silver
5075,USA,Gold
5076,USA,Bronze
5077,GBR,Bronze
5078,UKR,Bronze
5079,SUI,Silver
5080,CAN,Gold
5081,PAK,Silver
5082,PAK,Silver
5083,PAK,Gold
5084,PAK,Gold
5085,IND,Gold
5086,FRA,Silver
5087,GBR,Silver
5088,CAN,Silver
5089,USA,Gold
5090,CAN,Bronze
5091,USA,Silver
5092,AUS,Silver
5093,USA,Gold
5094,HUN,Gold
5095,HUN,Gold
5096,HUN,Gold
5097,HUN,Gold
5098,FRA,Silver
5099,FRA,Silver
5100,USA,Silver
5101,USA,Bronze
5102,USA,Silver
5103,URS,Bronze
5104,GER,Gold
5105,BLR,Bronze
5106,BLR,Silver
5107,RUS,Silver
5108,YUG,Silver
5109,YUG,Gold
5110,GDR,Gold
5111,GDR,Silver
5112,RUS,Bronze
5113,SUI,Bronze
5114,USA,Bronze
5115,BEL,Bronze
5116,DEN,Gold
5117,FRA,Bronze
5118,URS,Gold
5119,NOR,Gold
5120,USA,Bronze
5121,AUS,Gold
5122,USA,Gold
5123,USA,Gold
5124,USA,Bronze
5125,GBR,Gold
5126,GBR,Silver
5127,BRA,Silver
5128,FRA,Gold
5129,HUN,Silver
5130,GBR,Silver
5131,USA,Silver
5132,USA,Gold
5133,USA,Gold
5134,GBR,Gold
5135,GBR,Silver
5136,USA,Gold
5137,CAN,Gold
5138,GBR,Silver
5139,AUS,Gold
5140,AUS,Bronze
5141,GBR,Gold
5142,GBR,Silver
5143,AUS,Silver
5144,AUS,Bronze
5145,AUS,Bronze
5146,ZIM,Gold
5147,GBR,Bronze
5148,GBR,Bronze
5149,USA,Gold
5150,USA,Bronze
5151,USA,Bronze
5152,ESP,Bronze
5153,USA,Gold
5154,USA,Gold
5155,USA,Gold
5156,CAN,Bronze
5157,JAM,Silver
5158,USA,Silver
5159,USA,Silver
5160,USA,Gold
5161,USA,Gold
5162,USA,Gold
5163,USA,Silver
5164,USA,Silver
5165,USA,Silver
5166,USA,Silver
5167,USA,Gold
5168,USA,Bronze
5169,USA,Silver
5170,USA,Silver
5171,USA,Gold
5172,USA,Gold
5173,NOR,Bronze
5174,USA,Gold
5175,USA,Gold
5176,NZL,Silver
5177,CAN,Silver
5178,CAN,Gold
5179,CAN,Silver
5180,CAN,Silver
5181,USA,Gold
5182,BAH,Silver
5183,BAH,Gold
5184,BAH,Gold
5185,ARM,Bronze
5186,JAM,Bronze
5187,BLR,Bronze
5188,URS,Gold
5189,URS,Gold
5190,URS,Gold
5191,EUN,Gold
5192,RUS,Gold
5193,RUS,Gold
5194,RUS,Gold
5195,RUS,Gold
5196,RUS,Gold
5197,UKR,Bronze
5198,URS,Gold
5199,URS,Gold
5200,URS,Silver
5201,CAN,Gold
5202,USA,Bronze
5203,USA,Gold
5204,USA,Bronze
5205,USA,Bronze
5206,CAN,Bronze
5207,NZL,Silver
5208,USA,Gold
5209,GBR,Silver
5210,CAN,Silver
5211,USA,Bronze
5212,JAM,Bronze
5213,JAM,Silver
5214,USA,Gold
5215,GBR,Bronze
5216,USA,Silver
5217,NZL,Gold
5218,ARG,Silver
5219,ITA,Gold
5220,ITA,Bronze
5221,ESP,Gold
5222,POR,Bronze
5223,BEL,Silver
5224,FRA,Gold
5225,BRA,Bronze
5226,BEL,Silver
5227,ITA,Bronze
5228,NED,Gold
5229,NED,Bronze
5230,BEL,Gold
5231,BEL,Silver
5232,NED,Gold
5233,NED,Bronze
5234,NED,Silver
5235,NED,Gold
5236,NED,Gold
5237,NED,Gold
5238,NED,Silver
5239,NED,Gold
5240,NED,Gold
5241,NED,Silver
5242,NED,Bronze
5243,NED,Bronze
5244,NED,Bronze
5245,CUB,Silver
5246,CUB,Silver
5247,BEL,Silver
5248,BEL,Silver
5249,BEL,Silver
5250,BEL,Bronze
5251,BEL,Bronze
5252,FRA,Bronze
5253,GER,Gold
5254,BEL,Bronze
5255,ITA,Gold
5256,ESP,Silver
5257,ESP,Silver
5258,BRA,Bronze
5259,USA,Silver
5260,NED,Gold
5261,NED,Gold
5262,NED,Silver
5263,CAN,Bronze
5264,CAN,Silver
5265,CAN,Bronze
5266,NED,Bronze
5267,NED,Bronze
5268,NED,Bronze
5269,NED,Silver
5270,NED,Bronze
5271,BEL,Gold
5272,NED,Bronze
5273,CHI,Silver
5274,NED,Bronze
5275,NED,Bronze
5276,CAN,Silver
5277,RSA,Bronze
5278,NED,Bronze
5279,NED,Bronze
5280,NED,Bronze
5281,BEL,Bronze
5282,FRA,Bronze
5283,ESP,Silver
5284,ARG,Bronze
5285,ARG,Bronze
5286,PER,Silver
5287,USA,Gold
5288,FRA,Gold
5289,MEX,Bronze
5290,SWE,Silver
5291,SWE,Bronze
5292,FRA,Bronze
5293,NED,Silver
5294,NED,Gold
5295,BRA,Bronze
5296,BRA,Silver
5297,BRA,Bronze
5298,NED,Bronze
5299,NED,Bronze
5300,ITA,Bronze
5301,ITA,Silver
5302,ITA,Silver
5303,ITA,Gold
5304,CAN,Bronze
5305,FRA,Bronze
5306,BEL,Bronze
5307,ITA,Bronze
5308,NED,Bronze
5309,FRA,Bronze
5310,NED,Gold
5311,NED,Gold
5312,NED,Silver
5313,NED,Silver
5314,BRA,Bronze
5315,BRA,Bronze
5316,BRA,Bronze
5317,ARG,Bronze
5318,ITA,Gold
5319,ITA,Gold
5320,BEL,Bronze
5321,ESP,Silver
5322,ITA,Silver
5323,ITA,Gold
5324,SUI,Gold
5325,SUI,Silver
5326,SUI,Gold
5327,SUI,Silver
5328,SUI,Gold
5329,SUI,Silver
5330,ITA,Bronze
5331,FRA,Bronze
5332,NED,Silver
5333,NED,Gold
5334,NED,Bronze
5335,ITA,Bronze
5336,NED,Bronze
5337,NED,Gold
5338,NED,Bronze
5339,ITA,Bronze
5340,BEL,Silver
5341,BEL,Silver
5342,IND,Gold
5343,ITA,Bronze
5344,GBR,Silver
5345,USA,Gold
5346,USA,Gold
5347,USA,Gold
5348,NED,Silver
5349,NED,Bronze
5350,NED,Bronze
5351,NED,Silver
5352,NED,Bronze
5353,NED,Silver
5354,NED,Silver
5355,BEL,Silver
5356,NED,Silver
5357,NED,Bronze
5358,AUS,Gold
5359,AUS,Bronze
5360,AUS,Bronze
5361,ITA,Silver
5362,ITA,Silver
5363,ITA,Gold
5364,ITA,Silver
5365,NED,Bronze
5366,USA,Bronze
5367,CAN,Silver
5368,USA,Silver
5369,AUS,Bronze
5370,USA,Gold
5371,USA,Silver
5372,GBR,Gold
5373,GBR,Gold
5374,GBR,Bronze
5375,GBR,Silver
5376,USA,Bronze
5377,USA,Gold
5378,AUS,Bronze
5379,AUS,Silver
5380,GBR,Silver
5381,USA,Bronze
5382,AUS,Bronze
5383,USA,Gold
5384,FRA,Silver
5385,FRA,Bronze
5386,GDR,Bronze
5387,BEL,Bronze
5388,FRA,Gold
5389,FRA,Bronze
5390,FRA,Bronze
5391,BEL,Gold
5392,FRA,Silver
5393,GDR,Gold
5394,GDR,Gold
5395,USA,Silver
5396,FRA,Silver
5397,FRA,Gold
5398,USA,Gold
5399,USA,Silver
5400,FRA,Gold
5401,FRA,Gold
5402,FRA,Silver
5403,FRA,Gold
5404,FRA,Gold
5405,FRA,Gold
5406,FRA,Gold
5407,FRA,Bronze
5408,FRA,Bronze
5409,FRA,Bronze
5410,USA,Gold
5411,GER,Gold
5412,USA,Silver
5413,SUI,Gold
5414,ESP,Gold
5415,ESP,Gold
5416,ESP,Silver
5417,CAN,Silver
5418,FRA,Bronze
5419,USA,Bronze
5420,FRA,Bronze
5421,FRA,Gold
5422,FRA,Bronze
5423,GBR,Gold
5424,USA,Bronze
5425,USA,Gold
5426,SWE,Gold
5427,DEN,Silver
5428,USA,Gold
5429,GER,Bronze
5430,ITA,Silver
5431,USA,Bronze
5432,FRG,Silver
5433,NED,Bronze
5434,TCH,Silver
5435,GRE,Silver
5436,NED,Silver
5437,NED,Bronze
5438,NED,Gold
5439,NED,Silver
5440,NED,Bronze
5441,ITA,Silver
5442,ITA,Silver
5443,ESP,Bronze
5444,ITA,Silver
5445,ITA,Bronze
5446,ITA,Bronze
5447,ARG,Bronze
5448,ARG,Silver
5449,ARG,Silver
5450,FRA,Bronze
5451,CAN,Gold
