id,noc,medal
317,KSA,Silver
318,ESP,Gold
319,URS,Silver
320,PAK,Silver
321,PAK,Gold
322,CRO,Silver
323,FIN,Bronze
324,FIN,Gold
325,ITA,Bronze
326,ITA,Silver
327,ITA,Silver
328,ITA,Bronze
329,ITA,Gold
330,ITA,Silver
331,FRA,Bronze
332,RUS,Bronze
333,ESP,Silver
334,ITA,Silver
335,FRA,Gold
336,FRA,Silver
337,FRA,Bronze
338,HUN,Bronze
339,ESP,Bronze
340,ITA,Bronze
341,SUI,Bronze
342,SUI,Gold
343,SUI,Bronze
344,SWE,Gold
345,USA,Silver
346,BRA,Bronze
347,CUB,Silver
348,CUB,Gold
349,GBR,Silver
350,GBR,Silver
351,USA,Gold
352,USA,Bronze
353,ESP,Silver
354,ESP,Silver
355,NZL,Gold
356,NZL,Silver
357,LTU,Gold
358,LTU,Gold
359,LTU,Bronze
360,URS,Gold
361,BUL,Silver
362,URS,Bronze
363,URS,Gold
364,URS,Gold
365,URS,Bronze
366,URS,Silver
367,URS,Gold
368,URS,Gold
369,URS,Gold
370,URS,Bronze
371,SRB,Bronze
372,SRB,Gold
373,BRA,Silver
374,BRA,Bronze
375,GER,Silver
376,BRA,Silver
377,GBR,Silver
378,CAN,Silver
379,CAN,Bronze
380,FRA,Bronze
381,FRA,Gold
382,BRA,Bronze
383,BRA,Silver
384,ROU,Silver
385,URS,Bronze
386,URS,Silver
387,NIG,Silver
388,URS,Bronze
389,ESP,Gold
390,USA,Gold
391,SWE,Bronze
392,SWE,Gold
393,SWE,Silver
394,FIN,Bronze
395,BRA,Bronze
396,BRA,Bronze
397,SWE,Gold
398,PAK,Gold
399,USA,Silver
400,IND,Gold
401,IND,Gold
402,FRA,Silver
403,URS,Silver
404,URS,Gold
405,CRO,Bronze
406,BRA,Silver
407,RUS,Gold
408,RUS,Bronze
409,GRE,Gold
410,BRA,Silver
411,BRA,Gold
412,NGR,Bronze
413,RUS,Gold
414,IRI,Bronze
415,FRA,Bronze
416,ALG,Bronze
417,GBR,Bronze
418,FRA,Silver
419,FRA,Silver
420,USA,Gold
421,USA,Bronze
422,AUT,Gold
423,AUS,Gold
424,JAM,Silver
425,USA,Gold
426,IND,Gold
427,IND,Gold
428,IND,Gold
429,USA,Bronze
430,USA,Bronze
431,USA,Gold
432,USA,Bronze
433,AUS,Bronze
434,AUS,Silver
435,AUS,Bronze
436,GBR,Bronze
437,NOR,Gold
438,TTO,Bronze
439,CAN,Silver
440,GBR,Silver
441,USA,Gold
442,ITA,Gold
443,SWE,Bronze
444,URS,Bronze
445,URS,Gold
446,ARG,Silver
447,CAN,Bronze
448,SWE,Silver
449,SWE,Bronze
450,SWE,Bronze
451,SWE,Bronze
452,SWE,Silver
453,SWE,Bronze
454,CMR,Gold
455,BRA,Silver
456,ESP,Bronze
457,RUS,Bronze
458,NGR,Silver
459,NOR,Gold
460,NOR,Silver
461,NOR,Gold
462,NOR,Gold
463,NOR,Gold
464,NOR,Gold
465,SWE,Silver
466,SWE,Silver
467,SWE,Bronze
468,NOR,Gold
469,NOR,Bronze
470,SUI,Gold
471,GER,Silver
472,ITA,Bronze
473,SUI,Bronze
474,GBR,Bronze
475,GBR,Gold
476,CHI,Bronze
477,CUB,Bronze
478,CUB,Bronze
479,CUB,Bronze
480,COL,Bronze
481,COL,Silver
482,ITA,Silver
483,ITA,Silver
484,BRA,Silver
485,EGY,Silver
486,URS,Bronze
